cited_by_count,country_code,display_name,h_index,id,works_api_url,works_count,topic
3767.0,US,Bogdan Vasilescu,36.0,https://openalex.org/A5050821883,https://api.openalex.org/works?filter=author.id:A5050821883,120.0,Computer science
544.0,GB,Kyle R. H. Bottrill,12.0,https://openalex.org/A5017783660,https://api.openalex.org/works?filter=author.id:A5017783660,104.0,Physics
2388.0,US,Paul E. Smaldino,24.0,https://openalex.org/A5020901777,https://api.openalex.org/works?filter=author.id:A5020901777,159.0,Computer science
2715.0,DE,Jérôme Kunegis,17.0,https://openalex.org/A5016952117,https://api.openalex.org/works?filter=author.id:A5016952117,89.0,Computer science
4210.0,US,Alex Beutel,31.0,https://openalex.org/A5080988309,https://api.openalex.org/works?filter=author.id:A5080988309,119.0,Computer science
9603.0,US,David Yarowsky,41.0,https://openalex.org/A5015876016,https://api.openalex.org/works?filter=author.id:A5015876016,148.0,Computer science
3378.0,FR,J. Vannimenus,32.0,https://openalex.org/A5010469575,https://api.openalex.org/works?filter=author.id:A5010469575,85.0,Physics
899.0,FR,Alexandre Termier,14.0,https://openalex.org/A5011408780,https://api.openalex.org/works?filter=author.id:A5011408780,143.0,Computer science
1448.0,FI,Mervi Pantti,19.0,https://openalex.org/A5079841918,https://api.openalex.org/works?filter=author.id:A5079841918,113.0,Political science
2813.0,GB,Giulia Iori,21.0,https://openalex.org/A5040337779,https://api.openalex.org/works?filter=author.id:A5040337779,138.0,Economics
2694.0,CN,Sen Wu,26.0,https://openalex.org/A5033975637,https://api.openalex.org/works?filter=author.id:A5033975637,109.0,Computer science
3678.0,IL,Emilia Anis,24.0,https://openalex.org/A5072746422,https://api.openalex.org/works?filter=author.id:A5072746422,96.0,Medicine
10467.0,ES,Javier Del Ser,41.0,https://openalex.org/A5017326471,https://api.openalex.org/works?filter=author.id:A5017326471,503.0,Computer science
2683.0,NL,Carolien Martijn,26.0,https://openalex.org/A5053479856,https://api.openalex.org/works?filter=author.id:A5053479856,78.0,Psychology
791.0,NL,G.E. Breeman,11.0,https://openalex.org/A5080131973,https://api.openalex.org/works?filter=author.id:A5080131973,78.0,Political science
86.0,BR,Wilson Fusco,4.0,https://openalex.org/A5047853849,https://api.openalex.org/works?filter=author.id:A5047853849,86.0,Philosophy
913.0,IT,Augusto Valeriani,12.0,https://openalex.org/A5073517348,https://api.openalex.org/works?filter=author.id:A5073517348,76.0,Political science
11914.0,AU,Mark A. Bellgrove,58.0,https://openalex.org/A5073426199,https://api.openalex.org/works?filter=author.id:A5073426199,280.0,Psychology
940.0,IT,Andrea Tangherloni,14.0,https://openalex.org/A5056055676,https://api.openalex.org/works?filter=author.id:A5056055676,72.0,Computer science
